user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,95,69,0.8166666666666664,1.1885416666666675
True,piano,84,70,1.1885416666666675,1.583333333333334
False,piano,61,51,1.5604166666666668,1.8156250000000007
True,piano,64,65,1.5604166666666668,1.9333333333333336
False,piano,47,39,1.5718750000000004,1.8156250000000007
True,piano,55,61,1.5718750000000004,1.9562500000000007
False,piano,75,58,1.5718750000000004,1.9562500000000007
False,piano,60,77,1.583333333333334,2.513541666666667
True,piano,57,65,1.9333333333333336,2.130208333333334
False,piano,54,39,1.9447916666666671,2.107291666666667
False,piano,55,51,1.9447916666666671,2.154166666666667
True,piano,73,61,1.9562500000000007,2.1416666666666675
False,piano,62,58,1.9562500000000007,2.1416666666666675
True,piano,54,65,2.130208333333334,2.351041666666667
False,piano,49,39,2.1416666666666675,2.304166666666667
True,piano,65,61,2.1416666666666675,2.385416666666666
False,piano,58,58,2.1416666666666675,2.536458333333334
False,piano,51,54,2.1531249999999993,2.3270833333333325
False,piano,60,51,2.1531249999999993,2.536458333333334
False,piano,64,58,2.536458333333334,2.7802083333333325
False,piano,68,51,2.536458333333334,2.814583333333333
True,piano,70,61,2.536458333333334,2.8270833333333325
True,piano,61,70,2.536458333333334,3.244791666666666
False,piano,49,72,2.908333333333333,3.0479166666666675
True,piano,62,60,2.919791666666667,3.116666666666667
True,piano,51,65,2.919791666666667,3.3031249999999996
False,piano,59,58,2.919791666666667,3.3031249999999996
False,piano,57,77,2.919791666666667,4.25625
True,piano,68,60,3.291666666666666,3.955208333333333
True,piano,38,66,3.3031249999999996,3.4885416666666664
False,piano,69,54,3.3031249999999996,3.989583333333334
False,piano,66,58,3.3031249999999996,4.023958333333333
True,piano,66,65,3.4885416666666664,3.9312500000000004
False,piano,75,77,4.453125,4.8135416666666675
False,piano,71,37,4.581250000000001,4.720833333333333
False,piano,46,49,4.6395833333333325,4.802083333333334
False,piano,90,37,4.732291666666667,5.022916666666667
False,piano,66,75,4.847916666666666,5.370833333333334
True,piano,56,63,5.022916666666667,5.173958333333333
False,piano,75,56,5.022916666666667,5.255208333333334
False,piano,68,37,5.022916666666667,5.394791666666666
False,piano,75,73,5.231249999999999,5.591666666666667
False,piano,44,49,5.242708333333333,5.393750000000001
False,piano,97,44,5.4052083333333325,5.602083333333333
False,piano,91,44,5.603125,5.987500000000001
False,piano,46,53,5.614583333333334,5.754166666666666
False,piano,42,41,5.614583333333334,5.823958333333334
False,piano,60,72,5.614583333333334,6.033333333333333
False,piano,61,56,5.987500000000001,6.1729166666666675
False,piano,76,44,5.987500000000001,6.3125
False,piano,72,75,5.987500000000001,6.393750000000001
False,piano,54,41,5.9989583333333325,6.15
